dataset,arch,variant,noise,seed,accuracy,macro_f1,top3,violation_rate,forbidden,violation_rate_net,forbidden_net,dl_similarity,suffix_accuracy,exact_match,suffix_dfa_violation,suffix_dfa_violation_net,suffix_precedence_violation,suffix_net_fitness,n_suffix,prefix_lengths,best_epoch,corrupted,train_compliance,secs_per_epoch,secs_train,secs_petrinet,secs_dfa,secs_automaton,secs_markings,secs_artifacts,gpu,knowledge_key,net_fingerprint,artifacts_cached,split,knowledge,vocab_scope,train_frac,val_frac,test_frac,protocol,source_dir
Sepsis_Case,lstm,checker,0.5,0,0.592795,0.439742,0.885089,0.003648,0.157858,0.010032,0.135631,0.508802,0.350558,0.063452,0.000587,0.07017,0.005076,0.958435,394,6|7|8,9,5409,0.137415,1.15,16.07,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net,0.5,0,0.605107,0.438315,0.891473,0.005472,0.1758,0.006384,0.126654,0.514534,0.379624,0.063452,0.002055,0.045214,0.005076,0.962818,394,6|7|8,9,5409,0.137415,1.14,15.97,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net_state,0.5,0,0.595075,0.435744,0.873689,0.015048,0.190299,0.017784,0.149373,0.505184,0.381386,0.06599,0.004404,0.093365,0.007614,0.952248,394,6|7|8,9,5409,0.137415,1.17,16.37,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.5,0,0.605107,0.426463,0.865937,0.020064,0.212462,0.024168,0.17258,0.519304,0.362595,0.06599,0.008221,0.069877,0.005076,0.959412,394,6|7|8,9,5409,0.137415,1.47,20.62,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.5,0,0.606019,0.428615,0.877793,0.016872,0.198443,0.0228,0.160774,0.514194,0.374927,0.068528,0.005872,0.050793,0.007614,0.962664,394,6|7|8,11,5409,0.137415,2.0,32.02,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.5,0,0.613771,0.429628,0.870041,0.01368,0.205508,0.018696,0.165969,0.539627,0.414269,0.073604,0.002936,0.008221,0.005076,0.979446,394,6|7|8,10,5409,0.137415,3.14,47.07,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.5,0,0.594619,0.403651,0.860465,0.003648,0.075355,0.0,0.002698,0.505302,0.384615,0.045685,0.0,0.0,0.002538,0.985304,394,6|7|8,9,5409,0.137415,1.72,24.07,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.5,0,0.602371,0.43103,0.872777,0.00684,0.160288,0.004104,0.108594,0.540262,0.412801,0.068528,0.00323,0.001174,0.005076,0.979006,394,6|7|8,17,5409,0.137415,3.03,66.68,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,baseline,0.6,0,0.561788,0.405117,0.822161,0.028728,0.24363,0.023712,0.189135,0.418237,0.284498,0.060914,0.241632,0.299472,0.038071,0.890018,394,6|7|8,11,6491,0.096599,1.23,19.76,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker,0.6,0,0.571363,0.417051,0.857273,0.010944,0.191889,0.015504,0.155862,0.45807,0.344686,0.043147,0.029654,0.103934,0.007614,0.935022,394,6|7|8,10,6491,0.096599,1.16,17.35,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net,0.6,0,0.563611,0.425259,0.844049,0.013224,0.215738,0.00456,0.148398,0.469195,0.3532,0.060914,0.001174,0.08808,0.030457,0.946055,394,6|7|8,9,6491,0.096599,1.16,16.18,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net_state,0.6,0,0.581851,0.399905,0.857729,0.021888,0.2394,0.024168,0.182633,0.513719,0.400176,0.058376,0.006166,0.053729,0.007614,0.953024,394,6|7|8,7,6491,0.096599,1.17,14.04,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.6,0,0.559508,0.362791,0.841313,0.035568,0.263496,0.032832,0.209624,0.473343,0.344392,0.063452,0.09953,0.135056,0.010152,0.930781,394,6|7|8,5,6491,0.096599,1.22,12.17,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.6,0,0.585043,0.399017,0.857273,0.016872,0.250934,0.02052,0.196691,0.506622,0.373752,0.050761,0.063124,0.090722,0.007614,0.954278,394,6|7|8,9,6491,0.096599,1.33,18.68,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.6,0,0.557684,0.367967,0.839945,0.036024,0.246156,0.037848,0.198407,0.481719,0.351732,0.053299,0.175279,0.18027,0.010152,0.929335,394,6|7|8,10,6491,0.096599,2.94,44.13,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.6,0,0.597355,0.412511,0.856817,0.003648,0.104013,0.0,0.002123,0.489344,0.365531,0.043147,0.000294,0.0,0.002538,0.983494,394,6|7|8,14,6491,0.096599,1.19,22.69,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.6,0,0.621979,0.435427,0.884177,0.003192,0.197981,0.00228,0.124027,0.547158,0.403993,0.060914,0.000587,0.000294,0.005076,0.986082,394,6|7|8,14,6491,0.096599,3.2,60.88,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
